,тема,текст
861,жираф,"Добрый вечер! Нужен жираф в аренду на пару дней, подскажите, пожалуйста, какой фирмы у Вас данный инструмент?"
862,плиткорез ручной,Добрый день. Интересует плиткорез в аренду для плитки размером 600мм. Подскажите наличие и цену.
863,не вопрос клиента,Здравствуйте
864,пресс для труб РЕ-Х,"Здравствуйте. Скажите, аксиальный пресс сейчас есть в аренду?"
865,перфоратор,Доброе утро вчера с вами договаривались о аренде перфоратора большого и бура 45 Человек едет будет у вас примерно в 09.00
866,вибратор,Добрый вечер. Завтра часов в 12 нужно 2 глубинных вибратора 6-ти метровых. На сутки
867,не вопрос клиента,Здравствуйте
868,не вопрос клиента,"Добрый день. После строительства Лахта-центр приехало на склад на Парнасе 15 паллет инструмента БУ, часть новое. Скинуть список для ознакомления? напишите почту или телефон (могу на ватцап)."
869,плиткорез ручной,"Добрый день. Плиткорез ручной в аренду есть?  Минимум 400 мм. Сколько залог, сколько сутки?"
870,пылесос,"здравствуйте! подскажите, пожалуйста, у вас есть пылесосы в аренду?"
871,паяльник для ПВХ труб,"Добрый день, насчёт паяльник пекс трубы хотел узнать если он у вас?"
872,перфоратор,"Здравствуйте, перфоратор на сутки можно взять?"
873,дрель-шуруповерт,"Здравствуйте, возможно сегодня арендовать дрель?"
874,перфоратор,"Здравствуйте, интересует аренда перфоратора.  Ориентир по датам с 30.12 по  3.01 Какая будет стоимость?"
875,генератор,"Добрый день. Хочу взять у Вас генератор, сроком примерно на 15 суток. Какая будет цена. Спасибо."
876,фен,"Добрый вечер, подскажите пожалуйста - фен строительный - сколько стоит на сутки и кто произхводитель фена?"
877,лестница,"добрый день, нужна сегодня к 19 часам лестница для работы на высоте 3,5 метра. Нужна на 1 день. Нужна доставка на Васильевский остров, Нахимова дом 9.  Сможете сделать? Сколько будет стоить?"
878,жираф,"Здравствуйте, хотела бы сегодня взять на прокат шлифовальную машинку для стен, аренда нужна на 3 дня, сколько будет по цене и можно ли прийти к вам сегодня"
879,пушка дизельная,"Доброго дня! Ищем пушки дизельные на 15 кВт, три штуки  в аренду с четверга, на 2-3 дня. Есть у Вас? Какие условия? Территориально Порошкино."
880,пресс для труб РЕ-Х,Аксиальный прес есть в аренде?
881,нет такого инструмента,Доброе утро Нам нужен в аренду ленточнопилтный станок  Для распилки алюминиевого профиля
882,не вопрос клиента,Добрый день
883,лестница,"Здравствуйте, у вас есть стремянка для лестницы?"
884,УШМ,"Здравствуйте, сколько по стоимости аренда болгарки 1 день?  Свободно на завтра ?"
885,не вопрос клиента,"Здравствуйте. Прайс лист, можно, пожалуйста?!"
886,домкрат подкатной,"Добрый день. Скажите пожалуйста, у вас есть домкрат подкатной в аренду?"
887,торцовочная пила,Здравствуйте! Торцовочный пила есть?
888,пылесос,Здравствуйте  Можно строительный пылесос на 3 дня? Введенская 7 Сколько будет стоить и когда возможна доставка
889,лестница,"Здравствуйте, лестница/стремянка высотой 2-2,5 метра есть у Вас? Нужна будет доставка."
890,нет такого инструмента,"Здравствуйте, наборы гаечных ключей, трещеток, головок, есть?"
891,бензорез,"Добрый день, есть ли бензорез с 400 диском в аренду на одни сутки?"
892,генератор,Здравствуйте. Интересует в аренду дизельный генератор от 60кВт и станция прогрева бетона от 40кВт.
893,шлифовальная машина,"Здравствуйте, интересует в прокат ручная шлифмашина. Есть ли, залог, стоимость в сутки?"
894,генератор,"Здравствуйте, нужен генератор , чтобы два сварачника смог запитывать и 2 тележки на завтра"
895,лестница,"Добрый вечер. Есть ли у вас лестницы 9,5 м?"
896,генератор,"Здравствуйте! Подскажите пожалуйста, нужен генератор для работы на складе большом, Для клининговых услуг и уборке после строительства. Ваш генератор подойдет под эти цели? Какая стоимость выйдет на 3 дня? Какие условия? Спасибо!"
897,пушка дизельная,Добрый день! У вас есть дизельная пушка в аренду на сегодня? Какая стоимость аренды на сутки и стоимость доставки?
898,не вопрос клиента,Здравствуйте
899,не вопрос клиента,Здравствуйте
900,пушка газовая,"Добрый вечер, тепловую газовую пушку 40-50 квт можно арендовать?"
901,торцовочная пила,Здравствуйте! Нужен торцовочник чтобы выполнить запил плинтуса под разные углы высотой 80 мм. Сколько будет стоить аренда такого инструмента и условия аренды.
902,вопрос по режиму работы,Здравствуйте до скольки работаете
903,УШМ,"Здравствуйте, скажите маленькую болгарку можно в аренду у вас взять? И по какой цене?"
904,паяльник для ПВХ труб,"Здравствуйте, скажите пистолет для пайки можно в аренду у вас взять? И по какой цене?"
905,вопрос по режиму работы,Привет! Это Анастасия. По поводу пушки для фасада. Дадите прямой номер?
906,пылесос,"Здравствуйте! Подскажите, пожалуйста, стоимость аренды пылесоса на 2 суток? И осуществляется ли доставка?  Адрес: Смольный 7Б. Нужно собрать строительную пыль перед чистовой отделкой. Площадь: 80 кв.м."
907,перфоратор,"Здравствуйте, интересует перфоратор и бур д32х1000"
908,штроборез,Здравствуйте! Штроборез 125 возможно в аренду взять
909,коронка по бетону,Здравчтвуйте. Нужна коронка по бетону 132мм.
910,генератор,"Добрый день! Нужен бензогенератор в аренду - 6,5-7 кВт. 1-фазный. На неделю. адрес: обуховской обороны,51 Безнал, юрлицо, НДС"
911,дрель для алмазного бурения,"Добрый утро,  есть дрель для сухого алмазного бурения?"
912,штроборез,"Здравствуйте,  хотел бы взять у вас в прокат штроборез, он у вас свободен? какие условия и сколько это будет стоить?"
913,не вопрос клиента,Здравствуйте
914,домкрат бутылочный,"Здравствуйте!  Какие домкраты есть в аренду с вечера четверга по воскресенье?  Режим работы?  Стоимость в сутки?  Без залога, верно?"
915,воздуходувка,"Добрый день, есть в наличии воздуходув? Если есть, то цена аренды."
916,УШМ аккумуляторная,"'Здравствуйте, нужна аккумуляторная болгарка для резки плитки на даче, сколько стоит взять на выходные'"
917,УШМ аккумуляторная,"  
'Добрый день, интересует аренда УШМ аккумуляторной на день для зачистки сварных швов'"
918,УШМ аккумуляторная,"  
'Привет, есть ли у вас в прокате беспроводная болгарка, нужно порезать пару труб'"
919,УШМ аккумуляторная,"  
'Здравствуйте, сколько стоит взять аккумуляторную УШМ на 4-5 часов для мелких работ по металлу'"
920,УШМ аккумуляторная,"  
'Добрый вечер, ищу болгарку без провода для резки арматуры на стройке, какие у вас условия'"
921,УШМ аккумуляторная,"  
'Здравствуйте, нужна аккумуляторная углошлифовальная машинка на сутки, есть в наличии'"
922,УШМ аккумуляторная,"  
'Привет, подскажите стоимость аренды УШМ на батарее, надо подрезать дверную коробку'"
923,УШМ аккумуляторная,"  
'Добрый день, можно ли сегодня взять беспроводную болгарку с диском по металлу'"
924,УШМ аккумуляторная,"  
'Здравствуйте, интересует прокат аккумуляторной УШМ для работ на высоте, где нет розеток'"
925,УШМ аккумуляторная,"  
'Привет, сколько стоит болгарка без провода на день, нужно зачистить ржавчину на заборе'"
926,рейсмус,"'Здравствуйте, нужен рейсмус на пару дней, чтобы доски для террасы выровнять, сколько стоит аренда'"
927,рейсмус,"  
'Добрый день, подскажите, есть ли у вас в прокате рейсмус, нужно обработать пару кубометров сосны'"
928,рейсмус,"  
'Привет, ищу рейсмус на выходные, какие у вас условия и цена'"
929,рейсмус,"  
'Здравствуйте, сколько стоит взять рейсмус на сутки, нужно для строгания досок под забор'"
930,рейсмус,"  
'Добрый вечер, есть ли рейсмус в аренду, нужно подготовить материал для обшивки бани'"
931,рейсмус,"  
'Здравствуйте, интересует рейсмус на 3 дня, какие модели у вас есть в наличии'"
932,рейсмус,"  
'Привет, нужен рейсмус, чтобы выровнять доски для пола, подскажите стоимость аренды'"
933,рейсмус,"  
'Добрый день, рейсмус нужен на сегодня, можно ли забрать прямо сейчас'"
934,рейсмус,"  
'Здравствуйте, сколько стоит аренда рейсмуса на неделю, планирую делать мебель'"
935,рейсмус,"  
'Привет, есть ли у вас рейсмус с шириной обработки от 300 мм, нужно для столярных работ'"
936,лазерный уровень,"'Здравствуйте, нужен лазерный уровень для выравнивания плитки в ванной, сколько стоит аренда на день?'"
937,лазерный уровень," 'Добрый день, подскажите, есть ли у вас лазерный уровень в аренду для установки потолков?'"
938,лазерный уровень," 'Здравствуйте, планирую класть ламинат, нужен лазерный уровень на выходные, какие условия?'"
939,лазерный уровень," 'Привет, можно взять лазерный уровень на пару часов для разметки стен под гипсокартон?'"
940,лазерный уровень," 'Добрый вечер, интересует лазерный уровень для выравнивания фундамента, сколько стоит аренда?'"
941,лазерный уровень," 'Здравствуйте, нужен лазерный уровень для монтажа каркаса на балконе, есть ли у вас такой?'"
942,лазерный уровень," 'Добрый день, подскажите стоимость аренды лазерного уровня на сутки для отделки квартиры?'"
943,лазерный уровень," 'Здравствуйте, ищу лазерный уровень для разметки потолка под освещение, есть ли у вас?'"
944,лазерный уровень," 'Привет, нужно взять лазерный уровень для установки дверей, сколько стоит аренда на день?'"
945,лазерный уровень," 'Добрый день, интересует лазерный уровень для выравнивания стен под покраску, есть ли у вас в прокате?'"
946,бур для перфоратора,"'Здравствуйте, нужен бур для перфоратора под бетон, диаметр 10-12 мм, есть в наличии?'"
947,бур для перфоратора,"  
'Добрый день, сколько стоит аренда бура для перфоратора на выходные?'"
948,бур для перфоратора,"  
'Привет, ищу бур под плитку, что-то мощное, чтобы не крошилось'"
949,бур для перфоратора,"  
'Здравствуйте, у вас есть бур для перфоратора с хвостовиком SDS-plus?'"
950,бур для перфоратора,"  
'Добрый вечер, нужен бур для сверления отверстий под розетки, какой диаметр посоветуете?'"
951,бур для перфоратора,"  
'Здравствуйте, сколько стоит взять бур на день, нужно пробить стену под трубу'"
952,бур для перфоратора,"  
'Добрый день, есть ли в прокате длинные буры (от 300 мм) для перфоратора?'"
953,бур для перфоратора,"  
'Привет, нужен бур под кирпич, диаметр 8 мм, есть такой?'"
954,бур для перфоратора,"  
'Здравствуйте, можно арендовать набор буров для перфоратора на неделю?'"
955,бур для перфоратора,"  
'Добрый день, ищу бур для перфоратора под анкера, что у вас есть в наличии?'"
956,штроборез,"'Здравствуйте, мне нужен штроборез для прокладки проводки в квартире, есть у вас в аренду?'"
957,штроборез," 'Добрый день, подскажите стоимость аренды штробореза на сутки'"
958,штроборез," 'Здравствуйте, нужно сделать штробы в стене, есть ли у вас штроборез?'"
959,штроборез," 'Привет, интересует аренда штробореза на выходные, сколько будет стоить?'"
960,штроборез," 'Здравствуйте, сколько стоит взять штроборез на день для ремонта в доме?'"
961,штроборез," 'Добрый вечер, нужен штроборез для прокладки кабеля, есть в наличии?'"
962,штроборез," 'Здравствуйте, подскажите, можно ли арендовать штроборез на завтра?'"
963,штроборез," 'Привет, есть ли у вас штроборез в аренду для мелкого ремонта?'"
964,штроборез," 'Здравствуйте, интересует аренда штробореза на несколько часов, какие условия?'"
965,штроборез," 'Добрый день, нужно сделать штробы в бетоне, есть ли у вас штроборез в прокате?'"
966,фен,"'Здравствуйте, нужен строительный фен для снятия старой краски, есть у вас в аренду?'"
967,фен," 'Добрый день, подскажите, сколько стоит аренда строительного фена на день?'"
968,фен," 'Здравствуйте, планирую утеплять трубы, нужен строительный фен, есть у вас?'"
969,фен," 'Привет, можно ли взять строительный фен на выходные для работ на даче?'"
970,фен," 'Здравствуйте, интересует аренда строительного фена для пайки пластиковых труб, какие условия?'"
971,фен," 'Добрый день, нужен фен для прогрева битума, сколько стоит аренда на сутки?'"
972,фен," 'Здравствуйте, подскажите, есть ли у вас в прокате строительный фен и сколько он стоит?'"
973,фен," 'Привет, нужен строительный фен для удаления наклеек со стекла, есть у вас?'"
974,фен," 'Здравствуйте, планирую работать с термоусадкой, можно ли арендовать у вас строительный фен?'"
975,фен," 'Добрый день, подскажите, сколько стоит аренда строительного фена на несколько часов?'"
976,степлер,"'Привет, нужен степлер для обивки мебели, есть у вас в аренде?'"
977,степлер,"  
'Здравствуйте, сколько стоит взять степлер на день для крепления пленки к теплице?'"
978,степлер,"  
'Добрый день, ищу строительный степлер для монтажа вагонки, есть в наличии?'"
979,степлер,"  
'Здравствуйте, можно арендовать степлер на пару часов для ремонта дивана?'"
980,степлер,"  
'Есть ли у вас степлер для крепления сетки к забору? Нужен на выходные'"
981,степлер,"  
'Добрый вечер, подскажите стоимость аренды степлера для работы с картоном'"
982,степлер,"  
'Нужен мебельный степлер, чтобы перетянуть старый стул, какие условия аренды?'"
983,степлер,"  
'Здравствуйте, есть ли степлер для крепления рубероида на крышу?'"
984,степлер,"  
'Добрый день, сколько стоит взять степлер на сутки для обивки двери поролоном?'"
985,степлер,"  
'Ищу степлер для монтажа пароизоляции, можно забрать сегодня после обеда?'"
986,пушка газовая,"'Здравствуйте, нужна газовая пушка для прогрева гаража на пару дней, сколько стоит аренда',  
'Добрый день, подскажите, есть ли у вас в прокате газовая пушка для сушки штукатурки',  
'Привет, сколько стоит взять газовую пушку на выходные, нужно прогреть дачный домик',  
'Здравствуйте, интересует газовая пушка для обогрева склада, какие у вас условия аренды',  
'Добрый вечер, можно ли арендовать газовую пушку на сегодня, нужно просушить погреб',  
'Здравствуйте, сколько стоит газовая пушка в сутки, нужно прогреть помещение после затопления',  
'Привет, есть ли у вас мощная газовая пушка для обогрева строительной площадки',  
'Добрый день, нужна газовая пушка для отогрева труб в частном доме, какие варианты есть',  
'Здравствуйте, сколько будет стоить аренда газовой пушки на неделю для прогрева цеха',  
'Добрый вечер, интересует газовая пушка для обогрева теплицы, есть ли у вас в наличии'"
987,сабельная пила,"'Здравствуйте, нужна сабельная пила для распила дерева на даче, сколько стоит аренда на день?'  
'Добрый день, подскажите, есть ли у вас сабельная пила в прокате для демонтажа старого забора?'  
'Здравствуйте, сколько будет стоить аренда сабельной пилы на выходные?'  
'Добрый вечер, нужна сабельная пила для резки металлических труб, есть у вас такая?'  
'Здравствуйте, хочу арендовать сабельную пилу для работы с деревом, какие условия?'  
'Добрый день, подскажите стоимость аренды сабельной пилы на 2 дня?'  
'Здравствуйте, можно ли взять сабельную пилу сегодня на несколько часов?'  
'Добрый день, нужна сабельная пила для обрезки веток на участке, есть ли у вас в наличии?'  
'Здравствуйте, сколько стоит аренда сабельной пилы для резки пластиковых труб?'  
'Добрый вечер, подскажите, есть ли сабельная пила в прокате для распила досок?'"
988,газонокосилка,"'Добрый день, нужна газонокосилка на выходные, чтобы подстричь участок 6 соток, сколько стоит аренда'"
989,газонокосилка,"  
'Здравствуйте, у вас есть бензиновая газонокосилка в аренду, и какая цена за сутки'"
990,газонокосилка,"  
'Привет, ищу газонокосилку на день, трава уже по колено, срочно нужно скосить'"
991,газонокосилка,"  
'Добрый вечер, подскажите, можно ли взять электрическую газонокосилку на завтра с утра'"
992,газонокосилка,"  
'Здравствуйте, сколько стоит аренда газонокосилки на неделю, участок небольшой, но трава разрослась'"
993,газонокосилка,"  
'Добрый день, есть ли у вас самоходная газонокосилка, и какие условия аренды'"
994,газонокосилка,"  
'Привет, нужна газонокосилка на пару часов, просто подровнять газон перед домом'"
995,газонокосилка,"  
'Здравствуйте, интересует прокат газонокосилки, участок 10 соток, сколько будет стоить'"
996,газонокосилка,"  
'Добрый день, можно ли сегодня взять в аренду газонокосилку, трава уже очень высокая'"
997,газонокосилка,"  
'Здравствуйте, подскажите стоимость аренды газонокосилки на день, и есть ли доставка'"
998,пресс для труб РЕ-Х,"'Здравствуйте, нужно арендовать пресс для труб РЕ-Х на пару дней, сколько будет стоить?'"
999,пресс для труб РЕ-Х," 'Добрый день, подскажите, есть ли у вас в наличии пресс для труб РЕ-Х, нужно для монтажа водопровода'"
1000,пресс для труб РЕ-Х," 'Здравствуйте, сколько стоит аренда пресса для труб РЕ-Х на сутки?'"
1001,пресс для труб РЕ-Х," 'Добрый вечер, нужен пресс для труб РЕ-Х для ремонта отопления, можно ли взять сегодня?'"
1002,пресс для труб РЕ-Х," 'Здравствуйте, есть ли у вас пресс для труб РЕ-Х в аренду, нужно на завтра'"
1003,пресс для труб РЕ-Х," 'Добрый день, подскажите стоимость аренды пресса для труб РЕ-Х на выходные'"
1004,пресс для труб РЕ-Х," 'Здравствуйте, нужно взять пресс для труб РЕ-Х для прокладки водопровода на даче, сколько стоит?'"
1005,пресс для труб РЕ-Х," 'Добрый день, интересует аренда пресса для труб РЕ-Х на один день, какие условия?'"
1006,пресс для труб РЕ-Х," 'Здравствуйте, можно ли арендовать пресс для труб РЕ-Х сегодня вечером?'"
1007,пресс для труб РЕ-Х," 'Добрый день, подскажите, есть ли у вас пресс для труб РЕ-Х и сколько стоит аренда на неделю?'"
1008,жираф,"'Здравствуйте, нужен жираф для покраски потолков на даче, сколько стоит аренда на день?'"
1009,жираф," 'Добрый день, подскажите, есть ли у вас в прокате жираф для высотных работ?'"
1010,жираф," 'Здравствуйте, хочу арендовать жираф для монтажа гипсокартона, какие условия?'"
1011,жираф," 'Добрый вечер, нужен жираф для отделки фасада дома, сколько стоит на выходные?'"
1012,жираф," 'Здравствуйте, можно ли взять жираф в аренду для установки кондиционера?'"
1013,жираф," 'Добрый день, интересует аренда жирафа для работы на высоте, подскажите стоимость?'"
1014,жираф," 'Здравствуйте, нужен жираф для ремонта крыши, сколько будет стоить на сутки?'"
1015,жираф," 'Добрый вечер, подскажите, есть ли жираф в наличии для аренды завтра?'"
1016,жираф," 'Здравствуйте, сколько стоит аренда жирафа для монтажа светильников на потолке?'"
1017,жираф," 'Добрый день, нужен жираф для демонтажа старой штукатурки, подскажите цену?'"
1018,газовый баллон,"'Здравствуйте, нужен газовый баллон для работы с газовой горелкой на даче, сколько стоит аренда?'"
1019,газовый баллон," 'Добрый день, подскажите, можно ли арендовать газовый баллон для строительных работ на неделю?'"
1020,газовый баллон," 'Здравствуйте, сколько будет стоить аренда газового баллона на сутки?'"
1021,газовый баллон," 'Добрый вечер, нужен газовый баллон для пайки труб, есть в наличии?'"
1022,газовый баллон," 'Здравствуйте, хочу взять в аренду газовый баллон для работы с плитой на выезде, какие условия?'"
1023,газовый баллон," 'Добрый день, подскажите, есть ли газовые баллоны для аренды на выходные?'"
1024,газовый баллон," 'Здравствуйте, нужен газовый баллон для обогрева теплицы, сколько стоит аренда?'"
1025,газовый баллон," 'Добрый вечер, можно ли арендовать газовый баллон для использования с газовым резаком?'"
1026,газовый баллон," 'Здравствуйте, сколько стоит аренда газового баллона на два дня для проведения сварочных работ?'"
1027,газовый баллон," 'Добрый день, подскажите, есть ли возможность арендовать газовый баллон для использования с газовой плитой на пикнике?'"
1028,триммер,"'Здравствуйте, нужно скосить траву на даче, есть ли в аренду триммер?'"
1029,триммер," 'Добрый день, сколько стоит аренда триммера на выходные?'"
1030,триммер," 'Здравствуйте, у вас есть триммер для травы? Нужен на сутки'"
1031,триммер," 'Привет, ищу триммер, чтобы убрать участок за домом, какие условия аренды?'"
1032,триммер," 'Здравствуйте, нужен триммер на два дня, подскажите стоимость'"
1033,триммер," 'Добрый вечер, можно ли взять триммер в аренду на завтра?'"
1034,триммер," 'Здравствуйте, есть ли у вас электрический триммер для травы?'"
1035,триммер," 'Привет, сколько стоит арендовать триммер на день?'"
1036,триммер," 'Здравствуйте, нужен триммер для обработки небольшого участка, какие варианты?'"
1037,триммер," 'Добрый день, подскажите, можно ли арендовать триммер на сегодня?'"
1038,плиткорез ручной,"'Привет, нужен плиткорез ручной на пару дней, сколько стоит аренда',  
'Здравствуйте, есть ли у вас плиткорез для резки керамической плитки',  
'Добрый день, подскажите стоимость аренды ручного плиткореза на сутки',  
'Нужен плиткорез, чтобы подрезать плитку в ванной, есть в наличии',  
'Здравствуйте, сколько стоит взять плиткорез на выходные',  
'Добрый вечер, ищу ручной плиткорез для дачи, какие условия аренды',  
'Есть плиткорез в аренду? Нужно ровно отрезать несколько плиток',  
'Здравствуйте, нужен плиткорез на сегодня, работаете',  
'Сколько стоит взять плиткорез на неделю, делаем ремонт в кухне',  
'Добрый день, интересует аренда ручного плиткореза, подскажите стоимость'"
1039,заклепочник,"'Привет, нужен заклепочник на пару дней для сборки забора из профлиста, есть у вас такой'"
1040,заклепочник,"  
'Здравствуйте, сколько стоит аренда заклепочника на сутки? Нужно клепать ворота'"
1041,заклепочник,"  
'Добрый день, ищу заклепочник для жестяных работ, у вас есть в прокате?'"
1042,заклепочник,"  
'Здравствуйте, есть ли у вас заклепочник с насадками под алюминиевые заклепки?'"
1043,заклепочник,"  
'Привет, срочно нужен заклепочник на сегодня, можно забрать в течение часа?'"
1044,заклепочник,"  
'Добрый вечер, подскажите, есть ли заклепочник в аренду для ремонта водостока?'"
1045,заклепочник,"  
'Здравствуйте, сколько стоит взять заклепочник на выходные? Нужно починить гаражные ворота'"
1046,заклепочник,"  
'Привет, есть ли у вас мощный заклепочник для стальных заклепок?'"
1047,заклепочник,"  
'Добрый день, нужен заклепочник на день, какие у вас условия аренды?'"
1048,заклепочник,"  
'Здравствуйте, ищу заклепочник для монтажа кровли, у вас есть такой в прокате?'"
1049,бензорез,"'Привет, нужен бензорез на пару часов, чтобы порезать старые трубы во дворе'"
1050,бензорез,"  
'Здравствуйте, сколько стоит аренда бензореза на сутки? Нужно плитку резать'"
1051,бензорез,"  
'Добрый день, есть ли у вас бензорез с алмазным диском?'"
1052,бензорез,"  
'Можно взять бензорез на выходные? Будем резать кирпич на даче'"
1053,бензорез,"  
'Здравствуйте, нужен бензорез для демонтажа бетонного забора, какие условия аренды?'"
1054,бензорез,"  
'Привет, ищу бензорез на день, чтобы прорезать проем в стене'"
1055,бензорез,"  
'Добрый день, подскажите стоимость аренды бензореза на 4 часа?'"
1056,бензорез,"  
'Здравствуйте, есть ли в наличии бензорез для резки металла?'"
1057,бензорез,"  
'Нужен бензорез срочно, сегодня на пару часов, можно?'"
1058,бензорез,"  
'Добрый вечер, интересует бензорез для резки асфальта, какие у вас модели есть?'"
1059,гвоздезабивной пистолет по дереву,"'Здравствуйте, нужен гвоздезабивной пистолет для сборки деревянного забора, сколько стоит аренда на день?', 'Добрый день, подскажите, есть ли у вас в аренду гвоздезабивной пистолет для работы с деревом?', 'Здравствуйте, хочу взять гвоздезабивной пистолет на выходные для ремонта сарая, какие условия?', 'Привет, нужен гвоздезабивной пистолет для монтажа деревянной обрешетки, сколько стоит?', 'Здравствуйте, планирую собрать беседку, нужен гвоздезабивной пистолет, подскажите стоимость аренды', 'Добрый вечер, интересует гвоздезабивной пистолет для работы с деревом, есть ли у вас в наличии?', 'Здравствуйте, сколько стоит аренда гвоздезабивного пистолета на сутки для сборки деревянного каркаса?', 'Привет, нужен гвоздезабивной пистолет для монтажа деревянных панелей, можно сегодня забрать?', 'Здравствуйте, подскажите, есть ли гвоздезабивной пистолет в аренду для работы с деревом и сколько это стоит?', 'Добрый день, интересует аренда гвоздезабивного пистолета для сборки деревянной мебели, какие условия?'"
1060,отбойный молоток,"'Здравствуйте, нужен отбойный молоток для демонтажа старой плитки, сколько стоит аренда на день?'"
1061,отбойный молоток," 'Добрый день, планируем снять бетонную стяжку, есть ли у вас отбойный молоток в аренду?'"
1062,отбойный молоток," 'Здравствуйте, подскажите, можно ли взять отбойный молоток на выходные для работы на даче?'"
1063,отбойный молоток," 'Добрый вечер, сколько будет стоить аренда отбойного молотка на 3 часа?'"
1064,отбойный молоток," 'Здравствуйте, нужно разобрать старую стену, есть ли у вас отбойный молоток?'"
1065,отбойный молоток," 'Добрый день, интересует аренда отбойного молотка для земляных работ, какие условия?'"
1066,отбойный молоток," 'Здравствуйте, можно ли арендовать отбойный молоток сегодня после обеда?'"
1067,отбойный молоток," 'Добрый день, подскажите, есть ли отбойный молоток для демонтажа бетонного фундамента?'"
1068,отбойный молоток," 'Здравствуйте, сколько стоит аренда отбойного молотка на сутки и нужен ли залог?'"
1069,отбойный молоток," 'Добрый вечер, интересует отбойный молоток для работ по демонтажу, есть ли в наличии?'"
1070,резчик швов,"'Здравствуйте, нужен резчик швов для ремонта тротуарной плитки на даче, сколько стоит аренда на день'"
1071,резчик швов,"  
'Добрый день, интересует резчик швов для расшивки швов в бетоне, есть у вас в наличии'"
1072,резчик швов,"  
'Привет, сколько стоит взять резчик швов на выходные, нужно порезать асфальт во дворе'"
1073,резчик швов,"  
'Здравствуйте, ищу резчик швов для демонтажа старой стяжки, какие у вас условия аренды'"
1074,резчик швов,"  
'Добрый вечер, подскажите, можно ли арендовать резчик швов на завтра с утра'"
1075,резчик швов,"  
'Нужен резчик швов для подготовки швов перед укладкой гидроизоляции, есть ли у вас'"
1076,резчик швов,"  
'Здравствуйте, сколько стоит резчик швов на сутки, нужно сделать деформационные швы в гараже'"
1077,резчик швов,"  
'Добрый день, интересует аренда резчика швов для работ по бетону, какие модели у вас есть'"
1078,резчик швов,"  
'Привет, есть ли у вас резчик швов в аренду, нужно порезать плитку на балконе'"
1079,резчик швов,"  
'Здравствуйте, нужен резчик швов для ремонта дорожек на участке, подскажите стоимость'"
1080,пила погружная,"'Здравствуйте, мне нужна погружная пила для резки ламината, есть у вас в аренду?'"
1081,пила погружная," 'Добрый день, планирую резать плитку, интересует погружная пила на сутки'"
