,тема,текст
817,гвоздезабивной пистолет по бетону,Добрый день. Есть  ли газовый пистолет и сколько стоит в сутки арендовать? Входит ли в комплект гвозди по бетону и газ?
818,бензорез,Добрый день. Аренда с большим диском по бетону на сутки по какой цене будет?
819,не вопрос клиента,Добрый день!
820,пылесос,"Добрый день Интересует аренда строительного пылесоса  Есть вариант с насадкой-щеткой  какой-то, чтоб обои можно было тоже пропылесосить? И какая цена за сутки?"
821,перфоратор,Доброй ночи. Интересует перф. Обычный. Сверлить стены под гипрок и электрику. Цена в сутки? Спасибо!
822,фрезер,Здравствуйте! Сколько стоит в аренду фрезер?
823,УШМ аккумуляторная,"Добрый вечер,аккумуляторная болгарка есть у вас?"
824,генератор,"Добрый день. Подскажите, есть ли у вас два генератора в аренду на 4-5квт?"
825,шлифовальная машина,"Здравствуйте, сколько будет стоить взять на сутки орбитально шлифмашинку"
826,фен,"Здравствуйте, сколько будет стоить взять на сутки строительный фен"
827,лестница-трансформер,Здравствуйте. Интересует лестница трансформер. Получение завтра в 09.00. Возврат в 18.00. Есть возможность?
828,не вопрос клиента,"Здравствуйте, б/у инструмент выкупаете ?"
829,фен,"Здраствуйте, есть ли у Вас строительный фен в аренду?"
830,установка алмазного бурения,"Здравствуйте, у вас сверлильная установка есть , нужно в кирпиче отверстия сделать , длиной 600 мм и в диаметре 30 мм. Какие условия по аренде ? И если паспорта нет , а есть водительское удостоверение."
831,перфоратор,"Здравствуйте, аренда перфоратора интересует сколько стоит?"
832,торцовочная пила,"Здравствуйте, подскажите, пожалуйста, есть ли в аренду тррцовочная пила?"
833,не вопрос клиента,"Здравствуйте, есть такая?"
834,паяльник для ПВХ труб,"Брал, Паяльник электрический для сваривания пластиковых труб. Паяльник новый, греет отлично сделали все быстро. Спасибо Стахановцу!"
835,перфоратор,"Здравствуйте, сколько стоит аренда перфоратора на 2-3 часа?"
836,мотопомпа,Добрый день. Аренда мотопомпы в какую цену?
837,сабельная пила,Добрый день Есть сабельная пила в аренду?
838,шлифовальная машина,Шлиф машинка для шпаклёвки ручная имеется ?
839,компрессор,Компрессор для пескоструя
840,культиватор,Доброй ночи можно взять в аренду мото культиватор ?
841,не вопрос клиента,Здравствуйте
842,штроборез,"Здравствуйте, нужен штроборез на 2 дня"
843,не вопрос клиента,Здравствуйте
844,не вопрос клиента,Добрый день!
845,пылесос,Доброе! Мне нужен пилесос в аренду.  Скажите пожалуйста какой пилесос и стоимость?
846,пресс для труб РЕ-Х,Добрый день! Есть у вас пресс для труб rehau stout на период с 19 по 23?
847,паяльник для ПВХ труб,"здравствуйте. мне нужно взять в аренду паяльник и нож для полипропиленовых труб, сколько будет стоить на 1-2 дня? и когда есть возможность получить?"
848,пылесос,здравствуйте. мне нужно взять в аренду пылесос. сколько будет стоить на 1-2 дня? и когда есть возможность получить?
849,штроборез,"здравствуйте. мне нужно взять в аренду штроборез, сколько будет стоить на 1-2 дня? и когда есть возможность получить?"
850,пылесос,"Здравствуйте, подскажите пожалуйста, в какую стоимость выйдет аренда строительного пылесоса ?"
851,лестница,"Добрый день, хотел бы арендовать стремянку"
852,не вопрос клиента,Добрый день
853,металлоискатель,Здравствуйте! Нужен в аренду металлоискатель. Подскажите какая глубина поиска?
854,не вопрос клиента,Здравствуйте!
855,УШМ,"Добрый день. Скажите, можно ли у вас взять в аренду угловую шлифовальную машинку с защитным кожухом и пылеотводом?"
856,не вопрос клиента,Добрый вечер
857,пила дисковая,Здравствуйте пила циркулярная интересует
858,шлифовальная машина,Здравствуйте! есть ли у вас шлифовальная машинка?
859,УШМ,Добрый день! Возможно арендовать болгарку сегодня?
860,детектор проводки,"Добрый день, подскажите пожалуйста есть ли у вас в наличии тестер скрытой проводки? Необходимо найти кабельв стене  на глубине 5 см"
861,жираф,"Добрый вечер! Нужен жираф в аренду на пару дней, подскажите, пожалуйста, какой фирмы у Вас данный инструмент?"
862,плиткорез ручной,Добрый день. Интересует плиткорез в аренду для плитки размером 600мм. Подскажите наличие и цену.
863,не вопрос клиента,Здравствуйте
864,пресс для труб РЕ-Х,"Здравствуйте. Скажите, аксиальный пресс сейчас есть в аренду?"
865,перфоратор,Доброе утро вчера с вами договаривались о аренде перфоратора большого и бура 45 Человек едет будет у вас примерно в 09.00
866,вибратор,Добрый вечер. Завтра часов в 12 нужно 2 глубинных вибратора 6-ти метровых. На сутки
867,не вопрос клиента,Здравствуйте
868,не вопрос клиента,"Добрый день. После строительства Лахта-центр приехало на склад на Парнасе 15 паллет инструмента БУ, часть новое. Скинуть список для ознакомления? напишите почту или телефон (могу на ватцап)."
869,плиткорез ручной,"Добрый день. Плиткорез ручной в аренду есть?  Минимум 400 мм. Сколько залог, сколько сутки?"
870,пылесос,"здравствуйте! подскажите, пожалуйста, у вас есть пылесосы в аренду?"
871,паяльник для ПВХ труб,"Добрый день, насчёт паяльник пекс трубы хотел узнать если он у вас?"
872,перфоратор,"Здравствуйте, перфоратор на сутки можно взять?"
873,дрель-шуруповерт,"Здравствуйте, возможно сегодня арендовать дрель?"
874,перфоратор,"Здравствуйте, интересует аренда перфоратора.  Ориентир по датам с 30.12 по  3.01 Какая будет стоимость?"
875,генератор,"Добрый день. Хочу взять у Вас генератор, сроком примерно на 15 суток. Какая будет цена. Спасибо."
876,фен,"Добрый вечер, подскажите пожалуйста - фен строительный - сколько стоит на сутки и кто произхводитель фена?"
877,лестница,"добрый день, нужна сегодня к 19 часам лестница для работы на высоте 3,5 метра. Нужна на 1 день. Нужна доставка на Васильевский остров, Нахимова дом 9.  Сможете сделать? Сколько будет стоить?"
878,жираф,"Здравствуйте, хотела бы сегодня взять на прокат шлифовальную машинку для стен, аренда нужна на 3 дня, сколько будет по цене и можно ли прийти к вам сегодня"
879,пушка дизельная,"Доброго дня! Ищем пушки дизельные на 15 кВт, три штуки  в аренду с четверга, на 2-3 дня. Есть у Вас? Какие условия? Территориально Порошкино."
880,пресс для труб РЕ-Х,Аксиальный прес есть в аренде?
881,нет такого инструмента,Доброе утро Нам нужен в аренду ленточнопилтный станок  Для распилки алюминиевого профиля
882,не вопрос клиента,Добрый день
883,лестница,"Здравствуйте, у вас есть стремянка для лестницы?"
884,УШМ,"Здравствуйте, сколько по стоимости аренда болгарки 1 день?  Свободно на завтра ?"
885,не вопрос клиента,"Здравствуйте. Прайс лист, можно, пожалуйста?!"
886,домкрат подкатной,"Добрый день. Скажите пожалуйста, у вас есть домкрат подкатной в аренду?"
887,торцовочная пила,Здравствуйте! Торцовочный пила есть?
888,пылесос,Здравствуйте  Можно строительный пылесос на 3 дня? Введенская 7 Сколько будет стоить и когда возможна доставка
889,лестница,"Здравствуйте, лестница/стремянка высотой 2-2,5 метра есть у Вас? Нужна будет доставка."
890,нет такого инструмента,"Здравствуйте, наборы гаечных ключей, трещеток, головок, есть?"
891,бензорез,"Добрый день, есть ли бензорез с 400 диском в аренду на одни сутки?"
892,генератор,Здравствуйте. Интересует в аренду дизельный генератор от 60кВт и станция прогрева бетона от 40кВт.
893,шлифовальная машина,"Здравствуйте, интересует в прокат ручная шлифмашина. Есть ли, залог, стоимость в сутки?"
894,генератор,"Здравствуйте, нужен генератор , чтобы два сварачника смог запитывать и 2 тележки на завтра"
895,лестница,"Добрый вечер. Есть ли у вас лестницы 9,5 м?"
896,генератор,"Здравствуйте! Подскажите пожалуйста, нужен генератор для работы на складе большом, Для клининговых услуг и уборке после строительства. Ваш генератор подойдет под эти цели? Какая стоимость выйдет на 3 дня? Какие условия? Спасибо!"
897,пушка дизельная,Добрый день! У вас есть дизельная пушка в аренду на сегодня? Какая стоимость аренды на сутки и стоимость доставки?
898,не вопрос клиента,Здравствуйте
899,не вопрос клиента,Здравствуйте
900,пушка газовая,"Добрый вечер, тепловую газовую пушку 40-50 квт можно арендовать?"
901,торцовочная пила,Здравствуйте! Нужен торцовочник чтобы выполнить запил плинтуса под разные углы высотой 80 мм. Сколько будет стоить аренда такого инструмента и условия аренды.
902,вопрос по режиму работы,Здравствуйте до скольки работаете
903,УШМ,"Здравствуйте, скажите маленькую болгарку можно в аренду у вас взять? И по какой цене?"
904,паяльник для ПВХ труб,"Здравствуйте, скажите пистолет для пайки можно в аренду у вас взять? И по какой цене?"
905,вопрос по режиму работы,Привет! Это Анастасия. По поводу пушки для фасада. Дадите прямой номер?
906,пылесос,"Здравствуйте! Подскажите, пожалуйста, стоимость аренды пылесоса на 2 суток? И осуществляется ли доставка?  Адрес: Смольный 7Б. Нужно собрать строительную пыль перед чистовой отделкой. Площадь: 80 кв.м."
907,перфоратор,"Здравствуйте, интересует перфоратор и бур д32х1000"
908,штроборез,Здравствуйте! Штроборез 125 возможно в аренду взять
909,коронка по бетону,Здравчтвуйте. Нужна коронка по бетону 132мм.
910,генератор,"Добрый день! Нужен бензогенератор в аренду - 6,5-7 кВт. 1-фазный. На неделю. адрес: обуховской обороны,51 Безнал, юрлицо, НДС"
911,дрель для алмазного бурения,"Добрый утро,  есть дрель для сухого алмазного бурения?"
912,штроборез,"Здравствуйте,  хотел бы взять у вас в прокат штроборез, он у вас свободен? какие условия и сколько это будет стоить?"
913,не вопрос клиента,Здравствуйте
914,домкрат бутылочный,"Здравствуйте!  Какие домкраты есть в аренду с вечера четверга по воскресенье?  Режим работы?  Стоимость в сутки?  Без залога, верно?"
915,воздуходувка,"Добрый день, есть в наличии воздуходув? Если есть, то цена аренды."
916,УШМ аккумуляторная,'Здравствуйте
917,УШМ аккумуляторная, нужно взять в аренду УШМ аккумуляторную для резки плитки на даче
918,УШМ аккумуляторная, сколько стоит?'
919,УШМ аккумуляторная, 'Добрый день
920,УШМ аккумуляторная, интересует аренда аккумуляторной болгарки на два дня
921,УШМ аккумуляторная, какие условия?'
922,УШМ аккумуляторная, 'Здравствуйте
923,УШМ аккумуляторная, есть ли у вас УШМ аккумуляторная для резки металла на стройке?'
924,УШМ аккумуляторная, 'Привет
925,УШМ аккумуляторная, нужна болгарка аккумуляторная для шлифовки дерева
926,УШМ аккумуляторная, сколько стоит аренда?'
927,УШМ аккумуляторная, 'Здравствуйте
928,УШМ аккумуляторная, подскажите
929,УШМ аккумуляторная, можно ли взять аккумуляторную УШМ на сутки для демонтажа?'
930,УШМ аккумуляторная, 'Добрый день
931,УШМ аккумуляторная, интересует аренда болгарки аккумуляторной для зачистки сварных швов
932,УШМ аккумуляторная, есть в наличии?'
933,УШМ аккумуляторная, 'Здравствуйте
934,УШМ аккумуляторная, сколько будет стоить аренда аккумуляторной УШМ на выходные?'
935,УШМ аккумуляторная, 'Привет
936,УШМ аккумуляторная, нужна болгарка аккумуляторная для резки бетона
937,УШМ аккумуляторная, есть такая у вас?'
938,УШМ аккумуляторная, 'Здравствуйте
939,УШМ аккумуляторная, интересует аренда УШМ аккумуляторной для работ на высоте
940,УШМ аккумуляторная, какие модели есть?'
941,УШМ аккумуляторная, 'Добрый день
942,УШМ аккумуляторная, подскажите
943,УШМ аккумуляторная, есть ли аккумуляторная болгарка для резки труб в аренду?'
944,рейсмус,'Здравствуйте
945,рейсмус, нужен рейсмус на пару дней
946,рейсмус, чтобы доски для террасы выровнять. Сколько стоит?'
947,рейсмус,"  
'Добрый день! Есть ли у вас в прокате рейсмус? Нужно обработать пару кубов досок.'"
948,рейсмус,"  
'Привет"
949,рейсмус, ищу рейсмус на выходные
950,рейсмус, чтобы заготовки для мебели подготовить. Какие условия?'
951,рейсмус,"  
'Здравствуйте"
952,рейсмус, сколько стоит аренда рейсмуса на сутки? Нужно для ремонта пола.'
953,рейсмус,"  
'Добрый вечер! Можно взять рейсмус на завтра? Доски для обшивки бани подогнать.'"
954,рейсмус,"  
'Здравствуйте"
955,рейсмус, есть рейсмус в аренду? Нужно пару десятков досок откалибровать.'
956,рейсмус,"  
'Привет"
957,рейсмус, рейсмус нужен на день
958,рейсмус, чтобы столешницу выровнять. Сколько стоит?'
959,рейсмус,"  
'Добрый день! Подскажите"
960,рейсмус, есть ли у вас рейсмус и какой ширины он берет доски?'
961,рейсмус,"  
'Здравствуйте"
962,рейсмус, сколько будет стоить аренда рейсмуса на неделю? Делаем ремонт в доме.'
963,рейсмус,"  
'Привет"
964,рейсмус, ищу рейсмус на сегодня
965,рейсмус, чтобы дверные косяки подогнать. Есть в наличии?'
966,лазерный уровень,'Здравствуйте
967,лазерный уровень, нужен лазерный уровень для выравнивания стен
968,лазерный уровень, на сколько часов можно арендовать?'
969,лазерный уровень, 'Добрый день
970,лазерный уровень, планирую класть плитку в ванной
971,лазерный уровень, нужен лазерный уровень на пару дней
972,лазерный уровень, сколько стоит?'
973,лазерный уровень, 'Здравствуйте
974,лазерный уровень, интересует аренда лазерного уровня на выходные
975,лазерный уровень, какие условия?'
976,лазерный уровень, 'Добрый вечер
977,лазерный уровень, нужен лазерный уровень для монтажа потолка
978,лазерный уровень, есть ли у вас в наличии?'
979,лазерный уровень, 'Здравствуйте
980,лазерный уровень, подскажите
981,лазерный уровень, сколько стоит аренда лазерного уровня на сутки?'
982,лазерный уровень, 'Добрый день
983,лазерный уровень, планирую делать разметку для забора
984,лазерный уровень, нужен лазерный уровень на день
985,лазерный уровень, есть ли у вас?'
986,лазерный уровень, 'Здравствуйте
987,лазерный уровень, интересует лазерный уровень для выравнивания пола
988,лазерный уровень, можно ли арендовать на выходные?'
989,лазерный уровень, 'Добрый вечер
990,лазерный уровень, нужен лазерный уровень для установки дверей
991,лазерный уровень, сколько стоит аренда на день?'
992,лазерный уровень, 'Здравствуйте
993,лазерный уровень, планирую делать разметку для плитки
994,лазерный уровень, нужен лазерный уровень на пару часов
995,лазерный уровень, есть ли у вас?'
996,лазерный уровень, 'Добрый день
997,лазерный уровень, интересует аренда лазерного уровня для монтажа гипсокартона
998,лазерный уровень, какие условия?'
999,бур для перфоратора,1. 'Привет
1000,бур для перфоратора, нужен бур для перфоратора на 12 мм
1001,бур для перфоратора," чтобы плитку снять. Есть в наличии?'  
2. 'Добрый день! Ищу бур для перфоратора под анкера 10 мм"
1002,бур для перфоратора," на пару дней. Сколько стоит?'  
3. 'Здравствуйте"
1003,бур для перфоратора," завтра надо сверлить бетон — есть буры для перфоратора 8-10 мм?'  
4. 'Можно взять в аренду бур для перфоратора на 25 мм? Нужно отверстие под трубу.'  
5. 'Есть буры SDS-plus под перфоратор? Надо штробы прорезать.'  
6. 'Добрый вечер! Нужен длинный бур (300 мм) для перфоратора"
1004,бур для перфоратора," чтобы сквозь стену пройти.'  
7. 'Сколько стоит бур для перфоратора на сутки? Диаметр 16 мм"
1005,бур для перфоратора," бетон сверлить.'  
8. 'Здравствуйте"
1006,бур для перфоратора," есть ли у вас буры для перфоратора под дюбеля? Нужно 6 и 8 мм.'  
9. 'Ищу бур для перфоратора с алмазным напылением — надо керамогранит сверлить.'  
10. 'Добрый день! Дайте два бура для перфоратора: 12 и 18 мм. На выходные возьму.'"
1007,штроборез,'Здравствуйте
1008,штроборез, нужен штроборез для прокладки проводки в квартире
1009,штроборез, сколько стоит аренда на день?'
1010,штроборез,"  
'Добрый день"
1011,штроборез, есть ли у вас в прокате штроборез с алмазным диском? Нужно сделать канавки в стене.'
1012,штроборез,"  
'Привет"
1013,штроборез, ищу штроборез на пару часов
1014,штроборез, чтобы проштробить пару метров под кабель.'
1015,штроборез,"  
'Здравствуйте"
1016,штроборез, сколько стоит взять штроборез на выходные? Нужно развести проводку в гараже.'
1017,штроборез,"  
'Добрый вечер"
1018,штроборез, у вас можно арендовать штроборез с пылесосом? Чтобы пыли меньше было.'
1019,штроборез,"  
'Нужен штроборез для ремонта в ванной — делаем скрытую проводку. Какие условия аренды?'"
1020,штроборез,"  
'Здравствуйте"
1021,штроборез, есть ли штроборез в наличии? Надо проштробить стены под розетки.'
1022,штроборез,"  
'Добрый день"
1023,штроборез, подскажите стоимость аренды штробореза на сутки — делаем ремонт в коридоре.'
1024,штроборез,"  
'Привет"
1025,штроборез, ищу штроборез на сегодня
1026,штроборез, нужно быстро проложить кабель в стене.'
1027,штроборез,"  
'Здравствуйте"
1028,штроборез, у вас есть мощный штроборез для бетона? Нужно сделать штробы в несущей стене.'
1029,фен,'Здравствуйте
1030,фен, нужен строительный фен на пару дней для снятия старой краски
1031,фен, сколько стоит аренда?'
1032,фен,"  
'Добрый день"
1033,фен, есть ли у вас в прокате термофен мощный? Нужно разогреть трубы перед пайкой.'
1034,фен,"  
'Привет"
1035,фен, можно взять фен строительный на сегодня? Хочу ускорить высыхание шпаклевки.'
1036,фен,"  
'Здравствуйте"
1037,фен, интересует аренда фена для удаления наклеек с дверей
1038,фен, какие условия?'
1039,фен,"  
'Добрый вечер"
1040,фен, подскажите
1041,фен, есть ли у вас термовоздуходувка? Нужно снять линолеум.'
1042,фен,"  
'Привет"
1043,фен, сколько стоит фен на сутки? Надо разморозить водопроводную трубу в гараже.'
1044,фен,"  
'Здравствуйте"
1045,фен, ищу фен для усадки термоусадки на проводах
1046,фен, есть у вас такой?'
1047,фен,"  
'Добрый день"
1048,фен, нужен строительный фен на выходные для ремонта лодки
1049,фен, какие варианты?'
1050,фен,"  
'Привет"
1051,фен, есть ли у вас фен с регулировкой температуры? Хочу снять старый лак с мебели.'
1052,фен,"  
'Здравствуйте"
1053,фен, сколько стоит взять фен на день? Нужно прогреть битум перед укладкой.'
1054,степлер,'Привет
1055,степлер, нужен степлер для обивки мебели
1056,степлер, есть у вас в аренду?'
1057,степлер,"  
'Здравствуйте"
1058,степлер, сколько стоит взять строительный степлер на выходные?'
1059,степлер,"  
'Добрый день! Ищу степлер"
1060,степлер, чтобы прикрепить сетку к забору. Есть такой?'
1061,степлер,"  
'Сколько стоит аренда степлера на день? Нужно закрепить пленку на теплице.'"
1062,степлер,"  
'Есть ли у вас мощный степлер для кровельных работ? Нужно на пару дней.'"
1063,степлер,"  
'Привет"
1064,степлер, нужен степлер для монтажа вагонки. Сколько стоит сутки аренды?'
1065,степлер,"  
'Здравствуйте"
1066,степлер, у вас можно взять степлер и скобы к нему? Для ремонта дивана.'
1067,степлер,"  
'Добрый день! Нужен степлер для крепления изолона на балконе. Есть в наличии?'"
1068,степлер,"  
'Сколько стоит аренда степлера на 3 часа? Нужно подшить ковер.'"
1069,степлер,"  
'Здравствуйте"
1070,степлер, есть ли у вас мебельный степлер? Хочу перетянуть стул.'
1071,пушка газовая,'Здравствуйте
1072,пушка газовая, нужна газовая пушка для прогрева гаража на выходные
1073,пушка газовая, сколько стоит аренда?'
1074,пушка газовая,"  
'Добрый день"
1075,пушка газовая, подскажите
1076,пушка газовая, есть ли у вас газовая пушка в аренду для сушки стен после ремонта?'
1077,пушка газовая,"  
'Здравствуйте"
1078,пушка газовая, сколько стоит взять газовую пушку на сутки для обогрева склада?'
1079,пушка газовая,"  
'Добрый вечер"
1080,пушка газовая, нужна газовая пушка для прогрева теплицы на пару дней
1081,пушка газовая, есть в наличии?'
1082,пушка газовая,"  
'Здравствуйте"
1083,пушка газовая, можно ли арендовать газовую пушку для обогрева стройплощадки на неделю?'
1084,пушка газовая,"  
'Добрый день"
1085,пушка газовая, интересует газовая пушка для прогрева подвала
1086,пушка газовая, сколько стоит аренда?'
1087,пушка газовая,"  
'Здравствуйте"
1088,пушка газовая, подскажите
1089,пушка газовая, есть ли газовая пушка для обогрева гаража на сегодня?'
1090,пушка газовая,"  
'Добрый день"
1091,пушка газовая, нужна газовая пушка для сушки штукатурки
1092,пушка газовая, сколько стоит аренда на день?'
1093,пушка газовая,"  
'Здравствуйте"
1094,пушка газовая, можно ли взять газовую пушку для обогрева дачи на выходные?'
1095,пушка газовая,"  
'Добрый вечер"
1096,пушка газовая, интересует газовая пушка для прогрева помещения после затопления
1097,пушка газовая, есть в наличии?'
1098,сабельная пила,'Здравствуйте
1099,сабельная пила, нужна сабельная пила для резки труб на даче
1100,сабельная пила, сколько стоит аренда на день?'
1101,сабельная пила, 'Добрый день
1102,сабельная пила, есть ли у вас сабельная пила в аренду? Нужно распилить деревянные доски.'
1103,сабельная пила, 'Здравствуйте
1104,сабельная пила, подскажите стоимость аренды сабельной пилы на сутки
1105,сабельная пила, нужно демонтировать старые двери.'
1106,сабельная пила, 'Привет
1107,сабельная пила, нужна сабельная пила для резки металла
1108,сабельная пила, можно ли взять на выходные?'
1109,сабельная пила, 'Здравствуйте
1110,сабельная пила, сколько стоит аренда сабельной пилы? Нужно распилить ветки в саду.'
1111,сабельная пила, 'Добрый день
1112,сабельная пила, есть ли сабельная пила в наличии? Нужно сделать несколько резов по металлу.'
1113,сабельная пила, 'Здравствуйте
1114,сабельная пила, подскажите
1115,сабельная пила, можно ли арендовать сабельную пилу на день для работ по дереву?'
1116,сабельная пила, 'Привет
1117,сабельная пила, нужна сабельная пила для демонтажа старого забора
1118,сабельная пила, сколько будет стоить аренда?'
1119,сабельная пила, 'Здравствуйте
1120,сабельная пила, планирую взять сабельную пилу на два дня
1121,сабельная пила, какие у вас условия?'
1122,сабельная пила, 'Добрый день
1123,сабельная пила, есть ли сабельная пила в аренду? Нужно распилить несколько досок для строительства.'
1124,газонокосилка,'Привет
1125,газонокосилка, нужна газонокосилка на выходные
1126,газонокосилка, сколько стоит аренда?'
1127,газонокосилка,"  
'Здравствуйте"
1128,газонокосилка, у вас есть бензиновая газонокосилка в прокате?'
1129,газонокосилка,"  
'Добрый день"
1130,газонокосилка, сколько будет стоить взять газонокосилку на сутки?'
1131,газонокосилка,"  
'Здравствуйте"
1132,газонокосилка, ищу электрическую газонокосилку
1133,газонокосилка, есть у вас?'
1134,газонокосилка,"  
'Нужна газонокосилка для дачи"
1135,газонокосилка, подскажите условия аренды.'
1136,газонокосилка,"  
'Привет"
1137,газонокосилка, можно сегодня забрать газонокосилку на пару дней?'
1138,газонокосилка,"  
'Добрый вечер"
1139,газонокосилка, есть ли самоходные газонокосилки в аренду?'
1140,газонокосилка,"  
'Здравствуйте"
1141,газонокосилка, сколько стоит прокат газонокосилки на неделю?'
1142,газонокосилка,"  
'Нужна газонокосилка"
1143,газонокосилка, чтобы подровнять траву во дворе
1144,газонокосилка, какие варианты?'
1145,газонокосилка,"  
'Добрый день"
1146,газонокосилка, интересует аренда газонокосилки на завтра
1147,газонокосилка, есть свободные?'
1148,пресс для труб РЕ-Х,1. 'Здравствуйте
1149,пресс для труб РЕ-Х, нужен пресс для труб РЕ-Х на день для монтажа теплого пола
1150,пресс для труб РЕ-Х," есть у вас такой?'  
2. 'Добрый день! Сколько стоит аренда пресса для труб РЕ-Х на сутки? Нужно соединить пару труб на даче.'  
3. 'Привет"
1151,пресс для труб РЕ-Х," есть ли у вас пресс для РЕ-Х труб? Завтра планирую разводку воды в бане.'  
4. 'Здравствуйте"
1152,пресс для труб РЕ-Х, подскажите
1153,пресс для труб РЕ-Х," можно ли взять пресс для труб РЕ-Х на выходные? Нужно смонтировать водопровод.'  
5. 'Добрый вечер! У вас есть пресс для РЕ-Х труб? Сколько стоит аренда на 3-4 часа?'  
6. 'Привет"
1154,пресс для труб РЕ-Х, нужен пресс для труб РЕ-Х
1155,пресс для труб РЕ-Х," чтобы поджать пару фитингов. Есть в наличии?'  
7. 'Здравствуйте"
1156,пресс для труб РЕ-Х," сколько стоит пресс для РЕ-Х труб на сутки? Нужно сделать разводку в квартире.'  
8. 'Добрый день! Есть ли у вас пресс для РЕ-Х труб с насадками под 20 мм? Нужен на день.'  
9. 'Привет"
1157,пресс для труб РЕ-Х," можно взять пресс для труб РЕ-Х сегодня после обеда? Нужно срочно починить трубу.'  
10. 'Здравствуйте"
1158,пресс для труб РЕ-Х, интересует аренда пресса для РЕ-Х труб на неделю. Какая стоимость и залог?'
1159,жираф,'Здравствуйте
1160,жираф, нужен жираф для покраски потолков в квартире
1161,жираф, сколько стоит аренда на день?'
1162,жираф,"  
'Добрый день"
1163,жираф, есть ли у вас в прокате жираф высотой метров 5-6?'
1164,жираф,"  
'Привет"
1165,жираф, срочно нужен жираф для монтажа гипсокартона на даче
1166,жираф, какие условия?'
1167,жираф,"  
'Здравствуйте"
1168,жираф, сколько стоит взять жираф на выходные для ремонта фасада?'
1169,жираф,"  
'Добрый вечер"
1170,жираф, ищу жираф с площадкой
1171,жираф, чтобы помыть окна на втором этаже.'
1172,жираф,"  
'Здравствуйте"
1173,жираф, есть ли у вас жираф для работы на высоте 3-4 метра?'
1174,жираф,"  
'Добрый день"
1175,жираф, нужен жираф для сборки урожая с высоких деревьев
1176,жираф, подскажите стоимость.'
1177,жираф,"  
'Привет"
1178,жираф, можно ли арендовать жираф на пару часов для замены лампочек в зале?'
1179,жираф,"  
'Здравствуйте"
1180,жираф, интересует жираф для поклейки обоев в коридоре с высокими потолками.'
1181,жираф,"  
'Добрый день"
1182,жираф, сколько стоит жираф на сутки для ремонта потолка в частном доме?'
1183,газовый баллон,'Здравствуйте
1184,газовый баллон, нужен газовый баллон для горелки на пару дней
1185,газовый баллон, сколько стоит аренда?'
1186,газовый баллон,"  
'Добрый день"
1187,газовый баллон, есть ли у вас в прокате газовые баллоны для строительного фена?'
1188,газовый баллон,"  
'Привет"
1189,газовый баллон, ищу баллон с пропаном для пайки труб
1190,газовый баллон, какие у вас условия?'
1191,газовый баллон,"  
'Здравствуйте"
1192,газовый баллон, сколько стоит взять газовый баллон на неделю для дачного гриля?'
1193,газовый баллон,"  
'Добрый вечер"
1194,газовый баллон, нужен баллон для газового обогревателя на время ремонта
1195,газовый баллон, есть в наличии?'
1196,газовый баллон,"  
'Привет"
1197,газовый баллон, можно арендовать небольшой баллон с газом для горелки на сегодня?'
1198,газовый баллон,"  
'Здравствуйте"
1199,газовый баллон, интересует прокат газового баллона под плиту на стройке
1200,газовый баллон, какие варианты?'
1201,газовый баллон,"  
'Добрый день"
1202,газовый баллон, есть ли у вас баллоны для газового резака? Нужно на 2-3 дня.'
1203,газовый баллон,"  
'Здравствуйте"
1204,газовый баллон, сколько стоит аренда газового баллона для паяльной лампы?'
1205,газовый баллон,"  
'Привет"
1206,газовый баллон, нужен баллон с пропаном для заправки туристической горелки
1207,газовый баллон, есть в прокате?'
1208,триммер,'Здравствуйте
